#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-22T22:06:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60a97fbb1d3821	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/MNRAS/419/2173/table5a
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table5a}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ60a97fbb1d3821&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=O-C&-out=e_O-C&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/MNRAS/419/2173/table5a
#-source=J/MNRAS/419/2173/table5a
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=O-C
#-out=e_O-C
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table5a:
#Name: J/MNRAS/419/2173/table5a
#Title: O-C values
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	m_Star	(A1)	[ab] Multiplicity index on Star	[ucd=meta.code.multip]
#Column	Perm	(F11.8)	Mean period	[ucd=time.period;stat.mean]
#Column	JD0	(F7.1)	Time interval, lower value (JD-2400000)	[ucd=time.epoch]
#Column	JD1	(F7.1)	Time interval, upper value (JD-2400000)	[ucd=time.epoch]
#Column	HJDm	(F9.1)	Mead HJD of observation	[ucd=time.epoch;obs]
#Column	N	(I3)	Number of observation	[ucd=meta.number]
#Column	O-C	(F7.4)	Residual on HJDm	[ucd=stat.fit.residual]
#Column	e_O-C	(F7.4)	rms uncertainty on O-C	[ucd=stat.error;stat.fit.omc]
Star	m_Star	Perm	JD0	JD1	HJDm	N	O-C	e_O-C
021	 	 0.51574000	22729.5	22840.6	2422753.6	134	-0.1411	 0.0012
021	 	 0.51574000	23858.5	24684.9	2424470.0	158	-0.1829	 0.0018
021	 	 0.51574000	28963.4	30078.6	2429513.9	 78	-0.2612	 0.0010
021	 	 0.51574000	31965.7	32700.8	2432164.8	 38	-0.2712	 0.0010
021	 	 0.51574000	33390.5	33763.6	2433494.6	 40	-0.2656	 0.0081
021	 	 0.51574000	34118.3	34567.4	2434310.2	 78	-0.2665	 0.0011
021	 	 0.51574000	35223.4	35933.7	2435542.1	 65	-0.2569	 0.0026
021	 	 0.51574000	36991.4	37058.6	2437024.3	 20	-0.2435	 0.0027
021	 	 0.51574000	37757.5	38502.7	2438103.0	 25	-0.2337	 0.0038
021	 	 0.51574000	42838.5	43254.6	2443044.5	 59	-0.1569	 0.0011
021	 	 0.51574000	43597.3	44343.5	2443914.7	 57	-0.1428	 0.0013
021	 	 0.51574000	47276.3	47555.6	2447505.2	 51	-0.0583	 0.0057
021	 	 0.51574000	48755.6	49092.0	2448939.0	183	-0.0008	 0.0005
021	 	 0.51574000	50622.7	50972.5	2450942.6	168	 0.0609	 0.0006
021	 	 0.51574000	54869.5	54965.5	2454930.3	679	 0.2228	 0.0004
022	 	 0.48141000	13372.5	14079.7	2413804.0	 16	 0.2644	 0.0193
022	 	 0.48141000	14437.5	15161.9	2415042.1	 34	 0.3586	 0.0091
022	 	 0.48141000	19479.8	20656.9	2420274.1	 25	 0.6353	 0.0059
022	 	 0.48141000	22455.4	22840.6	2422750.8	134	 0.6333	 0.0016
022	 	 0.48141000	24283.4	24317.5	2424295.8	 85	 0.5097	 0.0018
022	 	 0.48141000	24647.6	24684.9	2424668.2	 75	 0.4543	 0.0047
022	 	 0.48141000	28963.4	30078.6	2429512.1	 79	 0.1817	 0.0023
022	 	 0.48141000	31965.7	32700.8	2432164.8	 38	 0.2155	 0.0026
022	 	 0.48141000	33034.5	33763.6	2433487.8	 43	 0.2321	 0.0021
022	 	 0.48141000	34076.5	34834.5	2434327.0	 97	 0.2558	 0.0018
022	 	 0.48141000	35219.3	35933.7	2435562.6	129	 0.2836	 0.0017
022	 	 0.48141000	36367.3	37130.4	2436768.8	 94	 0.3049	 0.0030
022	 	 0.48141000	37757.5	38502.7	2438103.0	 25	 0.3043	 0.0036
022	 	 0.48141000	42838.5	43254.6	2443034.9	 58	 0.1784	 0.0033
022	 	 0.48141000	43597.3	44343.5	2443914.4	 56	 0.1233	 0.0025
022	 	 0.48141000	47276.3	47555.6	2447505.2	 51	-0.0337	 0.0024
022	 	 0.48141000	48755.6	49092.0	2448939.0	183	-0.0002	 0.0006
022	 	 0.48141000	50622.7	50972.5	2450942.6	165	 0.0523	 0.0014
022	 	 0.48141000	54869.5	54965.5	2454928.2	711	 0.0114	 0.0007
023	 	 0.59537560	13372.5	14079.7	2413804.0	 16	 0.0420	 0.0357
023	 	 0.59537560	14437.5	15161.9	2415036.9	 30	 0.0332	 0.0148
023	 	 0.59537560	19479.8	20656.9	2420258.2	 24	 0.0013	 0.0051
023	 	 0.59537560	22729.5	22840.6	2422753.6	135	 0.0289	 0.0020
023	 	 0.59537560	23858.5	24684.9	2424463.5	164	 0.0223	 0.0022
023	 	 0.59537560	28963.4	30078.6	2429512.1	 79	 0.0263	 0.0023
023	 	 0.59537560	31965.7	32700.8	2432164.8	 38	 0.0413	 0.0045
023	 	 0.59537560	33390.4	33763.6	2433496.7	 43	 0.0441	 0.0038
023	 	 0.59537560	34118.3	34567.4	2434231.6	 57	 0.0426	 0.0028
023	 	 0.59537560	35223.4	35933.7	2435547.0	 64	 0.0457	 0.0029
023	 	 0.59537560	36991.4	37058.6	2437024.3	 20	 0.0164	 0.0067
023	 	 0.59537560	37757.5	38502.7	2438103.0	 25	 0.0414	 0.0083
023	 	 0.59537560	42838.5	43254.6	2443032.5	 57	-0.0065	 0.0052
023	 	 0.59537560	43597.3	44343.5	2443914.7	 57	-0.0143	 0.0060
023	 	 0.59537560	47276.3	47555.6	2447505.2	 51	 0.0021	 0.0067
023	 	 0.59537560	48755.6	49092.0	2448930.6	161	 0.0000	 0.0011
023	 	 0.59537560	50162.4	50176.8	2450171.0	174	 0.0236	 0.0014
023	 	 0.59537560	50622.7	50972.5	2450943.0	184	 0.0276	 0.0012
023	 	 0.59537560	54869.5	54965.5	2454929.8	718	 0.0981	 0.0010
024	 	 0.66336000	13372.5	14079.7	2413804.0	 16	 0.4193	 0.0214
024	 	 0.66336000	14437.5	15161.9	2415048.2	 33	 0.4136	 0.0124
024	 	 0.66336000	22729.5	22840.6	2422753.9	131	 0.2808	 0.0024
024	 	 0.66336000	23858.5	24684.9	2424523.7	208	 0.2502	 0.0021
024	 	 0.66336000	28963.4	30078.6	2429713.6	 32	 0.1625	 0.0041
024	 	 0.66336000	33390.4	33763.6	2433496.7	 43	 0.1097	 0.0031
024	 	 0.66336000	34118.3	34567.4	2434312.4	 81	 0.0894	 0.0026
024	 	 0.66336000	35223.4	35933.7	2435535.9	 64	 0.0787	 0.0035
024	 	 0.66336000	36991.4	37058.6	2437024.3	 20	 0.0437	 0.0245
024	 	 0.66336000	37757.5	38502.6	2438086.3	 24	 0.0538	 0.0215
024	 	 0.66336000	42838.5	43254.6	2443044.1	 59	-0.0052	 0.0053
024	 	 0.66336000	43597.3	44343.5	2443914.7	 57	-0.0184	 0.0016
024	 	 0.66336000	47276.3	47962.7	2447755.9	101	-0.0125	 0.0014
024	 	 0.66336000	48659.7	49810.5	2448957.0	187	 0.0005	 0.0007
024	 	 0.66336000	50622.7	50972.5	2450943.5	172	 0.0614	 0.0008
024	 	 0.66336000	54869.5	54965.5	2454928.8	659	 0.2923	 0.0009
025	 	 0.48005640	13372.5	14079.7	2413804.0	 16	-0.1956	 0.0136
025	 	 0.48005640	14437.5	14841.7	2414710.8	  9	-0.4336	 0.0117
025	 	 0.48005640	15160.7	15161.9	2415161.4	 25	-0.5087	 0.0085
025	 	 0.48005640	22729.5	22840.6	2422753.3	132	-0.8013	 0.0009
025	 	 0.48005640	23858.5	24684.9	2424463.2	159	-0.7706	 0.0015
025	 	 0.48005640	28963.4	30078.6	2429713.6	 32	-0.6605	 0.0025
025	 	 0.48005640	33390.5	33763.6	2433499.3	 42	-0.5569	 0.0015
025	 	 0.48005640	34118.3	34567.4	2434312.4	 81	-0.5338	 0.0009
025	 	 0.48005640	35223.4	35933.7	2435542.1	 65	-0.4929	 0.0016
025	 	 0.48005640	36991.4	37058.6	2437024.3	 20	-0.4683	 0.0072
025	 	 0.48005640	37757.5	38502.7	2438103.0	 25	-0.4146	 0.0047
025	 	 0.48005640	42838.5	43254.6	2443031.5	 57	-0.2384	 0.0018
025	 	 0.48005640	43597.3	44343.5	2443914.7	 57	-0.2011	 0.0041
025	 	 0.48005640	47276.3	47962.7	2447735.5	104	-0.0432	 0.0012
025	 	 0.48005640	48659.6	49810.5	2448952.3	190	 0.0003	 0.0006
025	 	 0.48005640	50622.7	51283.6	2450971.3	195	 0.0979	 0.0004
025	 	 0.48005640	54869.5	54965.5	2454928.3	708	 0.2921	 0.0003
026	 	 0.59774400	13372.5	14079.7	2413813.3	 15	-0.0174	 0.0142
026	 	 0.59774400	14437.5	15161.9	2415048.2	 33	-0.0068	 0.0165
026	 	 0.59774400	22455.4	22840.6	2422751.1	132	 0.0155	 0.0020
026	 	 0.59774400	23858.5	24684.9	2424476.5	150	 0.0223	 0.0013
026	 	 0.59774400	28963.4	30078.6	2429713.6	 32	 0.0355	 0.0040
026	 	 0.59774400	33390.4	33763.6	2433496.7	 43	 0.0302	 0.0018
026	 	 0.59774400	34118.3	34567.4	2434336.3	 72	 0.0299	 0.0012
026	 	 0.59774400	35223.4	35933.6	2435534.6	 62	 0.0272	 0.0021
026	 	 0.59774400	36991.4	37058.6	2437026.1	 19	 0.0004	 0.0148
026	 	 0.59774400	37791.3	38502.7	2438117.4	 24	 0.0278	 0.0027
026	 	 0.59774400	42838.5	43254.6	2443038.7	 56	 0.0082	 0.0016
026	 	 0.59774400	43597.3	44343.5	2443920.3	 56	 0.0129	 0.0023
026	 	 0.59774400	47276.3	47555.6	2447524.0	 46	 0.0010	 0.0020
026	 	 0.59774400	48755.6	49092.0	2448938.2	182	 0.0000	 0.0003
026	 	 0.59774400	50622.7	50972.5	2450945.5	104	-0.0037	 0.0005
026	 	 0.59774400	54869.7	54965.5	2454932.4	631	-0.0153	 0.0006
027	 	 0.57908300	13372.5	14079.7	2413804.0	 16	-0.1941	 0.0118
027	 	 0.57908300	14437.5	15161.9	2415054.7	 32	-0.1238	 0.0149
027	 	 0.57908300	22455.4	22840.6	2422751.9	133	 0.0554	 0.0016
027	 	 0.57908300	23858.5	24684.9	2424472.0	156	 0.0795	 0.0016
027	 	 0.57908300	28963.4	30078.6	2429702.7	 31	 0.1524	 0.0019
027	 	 0.57908300	33390.4	33763.6	2433498.5	 42	 0.1650	 0.0024
027	 	 0.57908300	34118.3	34567.4	2434315.1	 76	 0.1634	 0.0017
027	 	 0.57908300	35223.4	35933.6	2435523.1	 62	 0.1607	 0.0059
027	 	 0.57908300	36991.4	37058.6	2437020.6	 18	 0.1741	 0.0110
027	 	 0.57908300	37791.3	38502.6	2438082.3	 22	 0.1498	 0.0032
027	 	 0.57908300	42838.5	43254.6	2443042.2	 60	 0.1086	 0.0023
027	 	 0.57908300	43597.3	44343.5	2443914.7	 57	 0.0940	 0.0028
027	 	 0.57908300	47276.3	47960.6	2447676.4	 75	 0.0287	 0.0018
027	 	 0.57908300	48659.6	49810.5	2448948.3	189	-0.0002	 0.0004
027	 	 0.57908300	50622.7	51283.6	2450963.2	245	-0.0536	 0.0004
027	 	 0.57908300	54869.5	54965.5	2454929.7	646	-0.1761	 0.0005
028	 	 0.47060900	13372.5	14079.7	2413832.4	 15	-1.0986	 0.0170
028	 	 0.47060900	14437.5	15161.9	2415048.2	 33	-1.0666	 0.0171
028	 	 0.47060900	22729.5	22761.7	2422751.8	126	-0.1483	 0.0042
028	 	 0.47060900	23858.5	24684.9	2424474.9	153	 0.0742	 0.0033
028	 	 0.47060900	28963.4	30078.6	2429761.8	 30	 0.3695	 0.0052
028	 	 0.47060900	33390.4	33763.6	2433496.7	 43	 0.0858	 0.0046
028	 	 0.47060900	34118.3	34567.4	2434315.5	 74	 0.0490	 0.0033
028	 	 0.47060900	35223.4	35933.6	2435516.4	 61	 0.0261	 0.0037
028	 	 0.47060900	36991.4	37058.6	2437020.9	 16	 0.0124	 0.0163
028	 	 0.47060900	37757.5	38502.6	2438026.9	 21	-0.0313	 0.0181
028	 	 0.47060900	42838.5	43254.6	2443042.2	 60	 0.1950	 0.0052
028	 	 0.47060900	43597.3	44343.5	2443914.7	 57	 0.2162	 0.0070
028	 	 0.47060900	47276.3	47960.6	2447666.0	 77	 0.1051	 0.0037
028	 	 0.47060900	48659.6	49810.5	2448951.3	191	 0.0015	 0.0016
028	 	 0.47060900	50622.7	50944.6	2450924.7	 70	-0.0787	 0.0021
028	 	 0.47060900	54872.5	54965.5	2454932.3	649	-0.0343	 0.0012
030	 	 0.51208900	13372.5	14079.7	2413843.8	 11	-0.0086	 0.0093
030	 	 0.51208900	14437.5	15161.9	2415082.4	 27	-0.0123	 0.0057
030	 	 0.51208900	22455.4	22761.7	2422747.8	 48	 0.0012	 0.0023
030	 	 0.51208900	23858.5	24684.9	2424533.0	111	 0.0010	 0.0026
030	 	 0.51208900	28963.4	30078.6	2429713.6	 32	-0.0093	 0.0071
030	 	 0.51208900	33390.4	33763.6	2433504.4	 39	-0.0011	 0.0045
030	 	 0.51208900	34118.3	34567.4	2434239.9	 53	 0.0030	 0.0031
030	 	 0.51208900	35223.4	35933.5	2435501.0	 39	 0.0057	 0.0059
030	 	 0.51208900	36991.4	37058.6	2437039.8	  8	-0.0247	 0.0100
030	 	 0.51208900	37791.3	37791.6	2437791.5	 11	-0.0471	 0.0110
030	 	 0.51208900	42838.5	43254.6	2442985.9	 42	-0.0049	 0.0049
030	 	 0.51208900	43597.3	44343.5	2443954.6	 46	-0.0089	 0.0060
030	 	 0.51208900	47276.3	47962.7	2447731.2	102	-0.0038	 0.0015
030	 	 0.51208900	48659.6	49092.0	2448934.9	185	 0.0000	 0.0005
030	 	 0.51208900	50622.7	50972.5	2450940.4	163	-0.0012	 0.0005
031	 	 0.58072150	13372.5	14079.7	2413804.0	 16	 0.0341	 0.0115
031	 	 0.58072150	14437.5	15161.9	2415048.2	 33	 0.0407	 0.0049
031	 	 0.58072150	22729.5	22840.6	2422754.7	104	 0.0411	 0.0014
031	 	 0.58072150	23858.5	24684.9	2424466.6	161	 0.0416	 0.0013
031	 	 0.58072150	28963.4	30078.6	2429761.8	 30	 0.0343	 0.0029
031	 	 0.58072150	33390.4	33763.6	2433496.7	 43	 0.0365	 0.0033
031	 	 0.58072150	34118.4	34567.4	2434253.1	 45	 0.0293	 0.0022
031	 	 0.58072150	35223.4	35933.6	2435498.9	 57	 0.0268	 0.0025
031	 	 0.58072150	36991.4	37058.6	2437024.6	 19	 0.0260	 0.0041
031	 	 0.58072150	37791.3	38502.6	2438040.3	 20	 0.0272	 0.0045
031	 	 0.58072150	42838.5	42928.6	2442908.9	 36	 0.0079	 0.0025
031	 	 0.58072150	43597.3	44343.5	2443939.0	 51	 0.0177	 0.0031
031	 	 0.58072150	47276.3	47958.7	2447598.0	 63	 0.0017	 0.0013
031	 	 0.58072150	48746.3	49810.5	2448929.0	223	-0.0007	 0.0003
031	 	 0.58072150	50622.7	51283.7	2450967.3	248	 0.0025	 0.0004
031	 	 0.58072150	54869.5	54965.5	2454932.4	615	 0.0314	 0.0006
032	 	 0.49535124	13372.5	14079.7	2413813.3	 15	-0.0032	 0.0060
032	 	 0.49535124	14437.5	15161.9	2415054.7	 32	 0.0023	 0.0053
032	 	 0.49535124	22729.6	22761.7	2422753.8	 83	 0.0197	 0.0016
032	 	 0.49535124	23858.5	24684.9	2424482.1	148	 0.0151	 0.0011
032	 	 0.49535124	28963.4	30078.6	2429792.0	 27	 0.0337	 0.0105
032	 	 0.49535124	33390.4	33763.6	2433483.7	 41	 0.0173	 0.0021
032	 	 0.49535124	34118.4	34567.4	2434256.1	 44	 0.0138	 0.0026
032	 	 0.49535124	35223.4	35933.6	2435515.9	 56	 0.0150	 0.0017
032	 	 0.49535124	36991.4	37018.7	2437011.2	 11	-0.0192	 0.0085
032	 	 0.49535124	37791.3	38502.6	2438028.5	 15	 0.0135	 0.0064
032	 	 0.49535124	42838.6	43227.6	2442946.2	 38	 0.0144	 0.0035
032	 	 0.49535124	43597.3	44343.5	2443914.7	 57	 0.0143	 0.0025
032	 	 0.49535124	47276.3	47958.7	2447597.3	 64	-0.0038	 0.0019
032	 	 0.49535124	48746.3	49809.5	2448926.4	210	 0.0000	 0.0003
032	 	 0.49535124	50622.7	51283.6	2450965.6	259	-0.0025	 0.0004
032	 	 0.49535124	54869.5	54965.5	2454931.2	562	-0.0160	 0.0003
033	 	 0.52522800	13372.5	14079.6	2413804.0	 16	 0.1178	 0.0089
033	 	 0.52522800	14437.5	15161.9	2415042.1	 34	 0.1233	 0.0085
033	 	 0.52522800	22729.5	22840.6	2422753.2	129	 0.1142	 0.0016
033	 	 0.52522800	23858.5	24684.9	2424466.6	161	 0.0654	 0.0021
033	 	 0.52522800	28963.4	30078.6	2429713.6	 32	 0.0126	 0.0046
033	 	 0.52522800	33390.4	33763.6	2433496.7	 43	-0.0101	 0.0035
033	 	 0.52522800	34118.3	34567.4	2434235.4	 52	-0.0416	 0.0028
033	 	 0.52522800	35223.4	35933.6	2435535.9	 64	-0.0559	 0.0034
033	 	 0.52522800	36991.4	37058.6	2437024.3	 20	-0.0850	 0.0038
033	 	 0.52522800	37757.5	38502.7	2438103.0	 25	-0.0906	 0.0105
033	 	 0.52522800	42838.5	43254.6	2443046.1	 58	-0.0890	 0.0030
033	 	 0.52522800	43597.3	44343.5	2443932.3	 54	-0.0620	 0.0022
033	 	 0.52522800	47553.5	47555.6	2447554.2	 42	-0.0311	 0.0018
033	 	 0.52522800	48755.6	49092.0	2448939.0	183	 0.0000	 0.0006
033	 	 0.52522800	50622.7	51283.6	2450965.4	204	 0.0169	 0.0011
033	 	 0.52522800	54873.6	54965.5	2454936.0	540	 0.1341	 0.0009
034	 	 0.55910310	13372.5	14079.7	2413804.0	 16	 0.0964	 0.0119
034	 	 0.55910310	14437.5	15161.9	2415042.1	 34	 0.0879	 0.0088
034	 	 0.55910310	22729.5	22840.6	2422753.8	132	-0.3520	 0.0024
034	 	 0.55910310	23858.5	24684.9	2424463.4	164	-0.3772	 0.0022
034	 	 0.55910310	28963.4	30078.6	2429713.6	 32	-0.5206	 0.0052
034	 	 0.55910310	33034.5	33763.6	2433486.2	 44	-0.6659	 0.0045
034	 	 0.55910310	34118.3	34834.5	2434329.2	 93	-0.6844	 0.0040
034	 	 0.55910310	35219.3	35933.7	2435567.7	136	-0.5441	 0.0036
034	 	 0.55910310	36367.3	37130.4	2436779.2	 97	-0.5027	 0.0031
034	 	 0.55910310	37757.5	38502.7	2438103.0	 25	-0.5531	 0.0095
034	 	 0.55910310	42838.5	43254.6	2443042.2	 60	-0.3423	 0.0045
034	 	 0.55910310	43597.3	44343.5	2443914.7	 57	-0.3013	 0.0039
034	 	 0.55910310	47276.3	47958.7	2447597.3	 64	 0.0449	 0.0040
034	 	 0.55910310	48746.3	49810.5	2448922.8	225	 0.0010	 0.0010
034	 	 0.55910310	50162.4	50176.8	2450171.0	174	 0.0394	 0.0010
034	 	 0.55910310	50622.7	50972.5	2450943.1	172	-0.0101	 0.0020
034	 	 0.55910310	54869.5	54965.5	2454928.9	738	 0.1432	 0.0006
035	 	 0.53059000	13372.5	14079.7	2413832.4	 15	-0.5503	 0.0176
035	 	 0.53059000	14437.5	15161.9	2415042.1	 34	-0.3768	 0.0123
035	 	 0.53059000	19479.8	20656.9	2420274.1	 25	 0.1420	 0.0055
035	 	 0.53059000	22729.5	22840.6	2422753.6	135	 0.2914	 0.0019
035	 	 0.53059000	23858.5	24684.9	2424468.0	160	 0.3739	 0.0018
035	 	 0.53059000	28963.4	30078.6	2429512.6	 79	 0.3699	 0.0026
035	 	 0.53059000	31965.7	32700.8	2432164.8	 38	 0.2050	 0.0049
035	 	 0.53059000	33390.4	33763.6	2433496.7	 43	 0.1902	 0.0034
035	 	 0.53059000	34118.3	34567.4	2434312.5	 81	 0.1054	 0.0049
035	 	 0.53059000	35223.4	35933.7	2435542.1	 65	 0.0657	 0.0045
035	 	 0.53059000	36991.4	37058.6	2437024.3	 20	 0.0255	 0.0086
035	 	 0.53059000	37757.5	38502.6	2438086.3	 24	-0.0272	 0.0138
035	 	 0.53059000	42838.5	43254.6	2443042.2	 60	 0.0646	 0.0050
035	 	 0.53059000	43597.3	44343.5	2443914.7	 57	 0.0989	 0.0030
035	 	 0.53059000	47276.3	47555.6	2447505.2	 51	 0.0548	 0.0039
035	 	 0.53059000	48755.6	49092.0	2448939.0	183	-0.0001	 0.0014
035	 	 0.53059000	50162.4	50176.8	2450170.8	169	-0.1013	 0.0014
035	 	 0.53059000	50622.7	50972.5	2450947.2	109	-0.1682	 0.0019
035	 	 0.53059000	54869.5	54965.5	2454928.8	760	-0.6350	 0.0009
036	 	 0.54559000	13372.5	14079.7	2413832.0	 15	 0.0805	 0.0171
036	 	 0.54559000	14437.5	15161.9	2415048.2	 33	 0.0837	 0.0079
036	 	 0.54559000	19479.8	20656.9	2420274.1	 25	 0.0391	 0.0020
036	 	 0.54559000	22455.4	22840.6	2422750.9	133	 0.0088	 0.0010
036	 	 0.54559000	23858.5	24684.9	2424464.8	163	-0.0125	 0.0019
036	 	 0.54559000	28963.4	30078.6	2429539.2	 76	-0.0687	 0.0013
036	 	 0.54559000	31965.7	32700.8	2432164.8	 38	-0.0776	 0.0011
036	 	 0.54559000	33390.4	33763.6	2433496.7	 43	-0.0800	 0.0022
036	 	 0.54559000	34118.3	34834.5	2434332.2	 93	-0.0792	 0.0018
036	 	 0.54559000	35219.3	35933.7	2435565.8	136	-0.0774	 0.0012
036	 	 0.54559000	36367.3	37131.4	2436773.8	 99	-0.0803	 0.0016
036	 	 0.54559000	37757.5	38502.7	2438103.0	 25	-0.0756	 0.0041
036	 	 0.54559000	42838.5	43254.6	2443042.2	 60	-0.0500	 0.0010
036	 	 0.54559000	43597.3	44343.5	2443914.7	 57	-0.0419	 0.0018
036	 	 0.54559000	47276.3	47555.6	2447509.8	 50	-0.0076	 0.0019
036	 	 0.54559000	48755.6	49092.0	2448938.2	182	 0.0000	 0.0003
036	 	 0.54559000	50622.7	51288.0	2451040.2	232	 0.0119	 0.0003
036	 	 0.54559000	54869.5	54965.5	2454929.2	722	 0.0331	 0.0004
037	 	 0.32663870	13372.5	14079.7	2413804.0	 16	 0.0095	 0.0138
037	 	 0.32663870	14437.5	15161.9	2415038.5	 33	 0.0019	 0.0115
037	 	 0.32663870	19479.8	20656.9	2420242.2	 23	 0.0166	 0.0032
037	 	 0.32663870	22455.4	22840.6	2422750.8	135	 0.0261	 0.0021
037	 	 0.32663870	23858.5	24684.9	2424526.5	250	 0.0218	 0.0022
037	 	 0.32663870	28963.4	30078.6	2429511.8	 79	 0.0230	 0.0026
037	 	 0.32663870	31965.7	32700.8	2432164.8	 38	 0.0223	 0.0014
037	 	 0.32663870	33390.4	33763.6	2433496.7	 43	 0.0199	 0.0027
037	 	 0.32663870	34118.3	34567.4	2434314.7	 80	 0.0074	 0.0014
037	 	 0.32663870	35223.4	35933.7	2435534.9	 62	 0.0139	 0.0024
037	 	 0.32663870	36991.4	37058.6	2437024.6	 19	 0.0128	 0.0052
037	 	 0.32663870	37757.5	38502.7	2438103.0	 25	 0.0158	 0.0018
037	 	 0.32663870	42838.5	43254.6	2443042.2	 60	 0.0166	 0.0023
037	 	 0.32663870	43597.3	44343.5	2443914.7	 57	 0.0116	 0.0024
037	 	 0.32663870	47276.3	47555.6	2447509.8	 50	-0.0037	 0.0030
037	 	 0.32663870	48755.6	49092.0	2448944.1	178	 0.0000	 0.0004
037	 	 0.32663870	50622.7	51288.0	2451027.8	246	-0.0061	 0.0005
037	 	 0.32663870	54872.4	54965.5	2454931.7	686	-0.0153	 0.0004
038	 	 0.55802000	13372.5	14079.7	2413804.0	 16	-0.1284	 0.0240
038	 	 0.55802000	14437.5	15161.9	2415038.5	 33	-0.1145	 0.0104
038	 	 0.55802000	19479.8	20656.9	2420259.4	 24	 0.0212	 0.0049
038	 	 0.55802000	22455.4	22840.6	2422750.9	133	 0.0468	 0.0025
038	 	 0.55802000	23858.5	24684.9	2424528.4	248	 0.0796	 0.0023
038	 	 0.55802000	28963.4	30078.6	2429540.7	 75	 0.1440	 0.0033
038	 	 0.55802000	31965.7	32700.8	2432164.8	 38	 0.1461	 0.0029
038	 	 0.55802000	33390.4	33763.6	2433498.6	 42	 0.1754	 0.0032
038	 	 0.55802000	34118.3	34834.5	2434336.6	 89	 0.1506	 0.0029
038	 	 0.55802000	35219.3	35933.7	2435569.9	143	 0.1777	 0.0027
038	 	 0.55802000	36367.3	37130.4	2436771.0	 98	 0.1601	 0.0028
038	 	 0.55802000	37757.5	38502.7	2438103.0	 25	 0.1524	 0.0042
038	 	 0.55802000	42838.5	43254.6	2443042.2	 60	 0.1710	 0.0099
038	 	 0.55802000	43597.3	44343.5	2443914.7	 57	 0.1091	 0.0034
038	 	 0.55802000	47553.5	47555.6	2447554.2	 42	-0.0044	 0.0039
038	 	 0.55802000	48755.6	49092.0	2448939.0	183	 0.0000	 0.0014
038	 	 0.55802000	50622.7	50972.5	2450942.2	175	-0.0190	 0.0013
038	 	 0.55802000	54869.5	54965.5	2454929.3	680	-0.0981	 0.0009
039	 	 0.58707850	13372.5	14079.7	2413804.0	 16	 0.0482	 0.0187
039	 	 0.58707850	14437.5	15161.9	2415038.5	 33	 0.0555	 0.0330
039	 	 0.58707850	19479.8	20656.9	2420259.4	 24	 0.0249	 0.0064
039	 	 0.58707850	22455.4	22840.6	2422750.9	133	-0.0373	 0.0018
039	 	 0.58707850	23858.5	24684.9	2424528.6	242	-0.0250	 0.0024
039	 	 0.58707850	28963.4	30078.6	2429513.2	 78	 0.0002	 0.0026
039	 	 0.58707850	31965.7	32700.8	2432164.8	 38	-0.0292	 0.0033
039	 	 0.58707850	33390.4	33763.6	2433496.7	 43	-0.0147	 0.0034
039	 	 0.58707850	34118.3	34567.4	2434310.1	 82	-0.0237	 0.0035
039	 	 0.58707850	35223.4	35933.7	2435542.1	 65	-0.0504	 0.0041
039	 	 0.58707850	36991.4	37058.6	2437024.6	 19	-0.0155	 0.0077
039	 	 0.58707850	37757.5	38502.7	2438115.9	 24	-0.0470	 0.0037
039	 	 0.58707850	42838.5	43254.6	2443046.1	 58	 0.0119	 0.0041
039	 	 0.58707850	43597.3	44343.5	2443907.5	 55	 0.0225	 0.0027
039	 	 0.58707850	47276.3	47555.6	2447508.8	 49	-0.0079	 0.0038
039	 	 0.58707850	48755.6	49092.0	2448940.0	182	 0.0000	 0.0012
039	 	 0.58707850	50622.7	51288.0	2451030.4	242	-0.0029	 0.0018
039	 	 0.58707850	54869.5	54965.5	2454928.6	751	 0.0393	 0.0007
040	 	 0.55154040	13372.5	14079.7	2413804.0	 16	-0.0020	 0.0141
